month,region,count,avg_price,median_price
2000-01,AK,1,140876.93,140876.93
2000-01,AL,7,107143.29571428572,113591.87
2000-01,AR,18,80218.80166666667,83890.49
2000-01,AZ,8,109420.13375,100931.59
2000-01,CA,20,205562.578,209642.45
2000-01,CO,13,173380.54384615386,175691.7
2000-01,CT,5,172229.614,150355.23
2000-01,DE,1,134046.87,134046.87
2000-01,FL,25,105206.0944,106073.18
2000-01,GA,32,94324.6771875,88954.23
2000-01,HI,3,191332.84333333332,194406.34
2000-01,IA,4,95321.625,96551.985
2000-01,ID,1,111834.02,111834.02
2000-01,IL,7,90296.26,74493.24
2000-01,IN,4,103891.0875,102951.4
2000-01,KS,1,82673.71,82673.71
2000-01,KY,16,80762.87875,83103.78
2000-01,LA,4,99753.99,91198.37
2000-01,MA,6,195245.54833333334,178113.58500000002
2000-01,MD,6,130051.64333333333,136028.85
2000-01,ME,4,98611.99,85609.685
2000-01,MI,22,110113.32045454545,106883.97
2000-01,MN,3,115232.76,126412.8
2000-01,MO,3,95141.30333333333,113397.83
2000-01,NC,21,104790.71,97466.95
2000-01,NE,3,105917.74,120807.19
2000-01,NH,5,110757.93,111772.37
2000-01,NJ,4,132030.79,131932.655
2000-01,NV,4,174700.5725,166907.74
2000-01,NY,26,81490.38923076923,72638.70999999999
2000-01,NaN,1,123266.2,123266.2
2000-01,OH,32,88964.1159375,85060.155
2000-01,OK,20,72942.8465,70326.87
2000-01,OR,14,133537.59642857144,142002.725
2000-01,PA,15,94216.756,98840.68
2000-01,RI,1,142332.68,142332.68
2000-01,SC,5,120323.704,119566.16
2000-01,TN,25,95865.4348,95542.91
2000-01,TX,9,108430.63555555555,98038.88
2000-01,UT,2,168667.375,168667.375
2000-01,VA,10,112998.039,113873.215
2000-01,VT,4,120237.1075,119685.54999999999
2000-01,WA,7,153196.08571428573,149933.47
2000-01,WI,4,120079.9625,125824.70000000001
2000-01,WV,5,76913.342,76555.33
2000-02,AK,1,141083.13,141083.13
2000-02,AL,7,107312.2642857143,113861.72
2000-02,AR,18,80300.54166666667,84051.065
2000-02,AZ,8,109528.83375,100910.8
2000-02,CA,20,206225.881,210333.84499999997
2000-02,CO,13,173740.2123076923,175963.5
2000-02,CT,5,172917.934,150588.93
2000-02,DE,1,134189.85,134189.85
2000-02,FL,25,105381.8976,106241.95
2000-02,GA,33,94997.43,89698.01
2000-02,HI,3,191041.60666666666,193548.64
2000-02,IA,4,95497.43,96637.95
2000-02,ID,1,111691.77,111691.77
2000-02,IL,7,90361.42142857143,74445.6
2000-02,IN,4,103927.81,103027.48999999999
2000-02,KS,1,82652.87,82652.87
2000-02,KY,16,80807.21,83167.92000000001
2000-02,LA,4,99829.5475,91222.84
2000-02,MA,6,195861.965,178625.975
2000-02,MD,6,130083.54333333333,136057.405
2000-02,ME,4,98912.475,85865.07
2000-02,MI,22,110105.48954545455,106857.825
2000-02,MN,3,115595.48666666666,126809.91
2000-02,MO,3,95220.24,113536.11
2000-02,NC,21,104898.45428571428,97600.49
