region,property_type,count,min_price,max_price,avg_price,median_price,price_per_sqft
AK,condo,1040,140876.93,460817.04,284210.50751923077,278305.91000000003,
AL,condo,5144,53278.62,384261.02,142852.71651049767,131524.335,
AR,condo,5941,46428.11,358789.65,116029.73182292543,109309.17,
AZ,condo,2952,73771.93,621904.38,209417.4478116531,180918.59,
CA,condo,9687,95700.78,1608631.03,387142.3859874058,340296.64,
CO,condo,4739,92225.89,1286958.46,335876.23637687275,279157.66,
CT,condo,1540,145795.38,655999.09,286065.2435844156,245795.44,
DE,condo,502,134046.87,425680.98,259687.17237051792,247300.07,
FL,condo,8587,54963.71,1003324.59,201069.95575986957,170807.23,
GA,condo,10926,58627.54,402336.4,136869.88984532308,122573.75,
HI,condo,1050,156817.06,1083745.03,524981.2834666667,491993.73,
IA,condo,4224,69237.45,376316.02,144471.41257575757,133537.86,
ID,condo,2819,111595.72,947680.67,266935.7431500532,216584.07,
IL,condo,6182,46097.57,339815.52,124598.65443222258,115741.9,
IN,condo,8026,63046.25,305607.36,136313.20267879392,125637.675,
KS,condo,3275,59318.48,328196.59,133477.74151145038,119843.95,
KY,condo,5749,45212.63,312785.71,118938.66199860846,108997.36,
LA,condo,3745,76128.28,295756.97,159395.91079572763,157326.77,
MA,condo,1848,128470.71,1518829.81,393355.907775974,336714.025,
MD,condo,1831,70942.61,494351.16,231566.9524849809,220161.83,
ME,condo,1232,84440.1,532512.0,194673.81900162337,153318.185,
MI,condo,8557,48799.02,410760.16,147215.5202769662,134851.77,
MN,condo,4775,71941.78,383407.35,190770.12949109948,177026.52,
MO,condo,5252,56847.56,315593.94,144128.4384786748,136918.96,
MS,condo,3193,45895.83,393384.64,137530.7534074538,128906.84,
MT,condo,1424,102428.88,715180.05,291852.9725491573,250180.45,
NC,condo,9634,52578.69,607030.83,174079.17061449034,148423.36,
ND,condo,1299,87409.68,344347.34,230371.21923787528,231902.76,
NE,condo,3000,75394.02,299574.79,151087.54669,140968.11,
NH,condo,1540,70018.13,513292.28,223768.4592922078,210044.66,
NJ,condo,1232,99657.06,751510.23,270266.3845616883,240498.75,
NM,condo,3209,82426.75,586430.15,215217.80687753196,186086.18,
NV,condo,2176,98064.67,732501.45,279724.0941819853,255325.22499999998,
NY,condo,7993,48010.08,704429.49,151695.41200300262,124689.7,
NaN,condo,308,123266.2,366287.15,214903.47733766233,195878.65000000002,
OH,condo,12333,53980.94,325967.47,121944.36637557772,111494.36,
OK,condo,6229,47043.13,245463.22,108444.25444052015,102884.16,
OR,condo,5587,79805.49,721829.19,259918.31091283337,229615.69,
PA,condo,8603,50049.25,380348.52,156331.52645821226,145641.53,
RI,condo,308,142332.68,504804.35,289470.3466558441,271648.955,
SC,condo,3670,57790.38,519229.6,174042.8931907357,148863.915,
SD,condo,1840,131233.53,449979.15,215735.65646195653,198177.78,
TN,condo,7841,67573.63,459771.25,149621.85037240147,128317.93,
TX,condo,13961,75800.2,563986.26,162576.99881813623,144484.53,
UT,condo,2078,129865.93,1150134.03,303297.0671414822,234570.78999999998,
VA,condo,3909,63390.38,579042.54,197744.7612714249,176695.82,
VT,condo,1228,102041.23,475983.94,239523.01570846906,226530.96,
WA,condo,5133,116690.42,771864.04,277598.1028638223,245320.17,
WI,condo,5373,77041.53,436093.97,190024.32441838825,174708.64,
WV,condo,1901,59728.9,218613.74,113493.47501841137,105191.32,
WY,condo,1769,144671.85,1421318.95,304567.01971170155,242980.94,
