region,year,sale_type,count,avg_price,median_price
AK,2000.0,sale,12,142220.88166666665,142444.32
AK,2001.0,sale,12,164384.6325,167549.245
AK,2002.0,sale,12,179900.14583333334,180455.37
AK,2003.0,sale,12,188890.52416666667,188313.04499999998
AK,2004.0,sale,12,202886.85,201921.02
AK,2005.0,sale,41,220031.75,215380.23
AK,2006.0,sale,48,238211.18458333332,229971.93
AK,2007.0,sale,48,249537.44041666668,240679.26
AK,2008.0,sale,48,251360.46729166666,247168.875
AK,2009.0,sale,48,249291.149375,243862.59499999997
AK,2010.0,sale,48,248620.30041666667,243355.03
AK,2011.0,sale,48,247410.363125,240255.935
AK,2012.0,sale,45,249619.15488888888,230783.46
AK,2013.0,sale,48,261533.38,254140.245
AK,2014.0,sale,48,266246.63645833335,262174.255
AK,2015.0,sale,48,277930.36375,275163.345
AK,2016.0,sale,48,286909.54125,285609.78
AK,2017.0,sale,48,293239.0989583333,289173.55
AK,2018.0,sale,48,302222.881875,298163.905
AK,2019.0,sale,46,315563.60217391304,313241.19499999995
AK,2020.0,sale,48,327407.25166666665,331720.555
AK,2021.0,sale,48,345415.0958333333,349047.775
AK,2022.0,sale,48,368040.276875,374505.96
AK,2023.0,sale,48,369774.72833333333,375590.015
AK,2024.0,sale,48,375225.84125,378702.99
AK,2025.0,sale,32,383356.06,395111.29500000004
AL,2000.0,sale,100,106455.4263,106105.92
AL,2001.0,sale,121,107213.85719008265,106505.55
AL,2002.0,sale,140,106408.2945,106167.42
AL,2003.0,sale,154,106883.42071428572,102287.505
AL,2004.0,sale,156,110568.7526923077,104809.14
AL,2005.0,sale,150,118105.9502,114553.98999999999
AL,2006.0,sale,160,126757.2894375,125945.13500000001
AL,2007.0,sale,168,131835.92166666666,132284.095
AL,2008.0,sale,168,132523.36898809523,135575.84
AL,2009.0,sale,181,127626.35585635359,123202.32
AL,2010.0,sale,204,119311.09656862746,110051.88
AL,2011.0,sale,216,113881.6126388889,108704.88
AL,2012.0,sale,223,115359.10484304932,110580.83
AL,2013.0,sale,228,122169.7949122807,116955.51
AL,2014.0,sale,228,127496.00035087719,124879.84
AL,2015.0,sale,228,128253.30105263158,120482.12
AL,2016.0,sale,239,132349.8508786611,125471.55
AL,2017.0,sale,240,135135.54116666666,126135.465
AL,2018.0,sale,240,140165.523,127696.98999999999
AL,2019.0,sale,240,147232.84525,133845.32
AL,2020.0,sale,240,158450.58929166666,143292.485
AL,2021.0,sale,240,178823.27733333333,160502.485
AL,2022.0,sale,240,200419.06666666668,181506.495
AL,2023.0,sale,240,205817.27995833333,189353.725
AL,2024.0,sale,240,210853.74954166668,196051.77500000002
AL,2025.0,sale,160,213653.755,199312.66
AR,2000.0,sale,216,81235.5625925926,85305.485
AR,2001.0,sale,216,84559.80777777778,88367.81
AR,2002.0,sale,216,86711.28712962964,89294.22
AR,2003.0,sale,223,88362.3531838565,90753.48
AR,2004.0,sale,224,93333.86575892857,94743.09
AR,2005.0,sale,227,100116.3206167401,101583.61
AR,2006.0,sale,228,106915.23969298246,107066.20999999999
AR,2007.0,sale,224,109979.44473214286,109532.05
AR,2008.0,sale,227,110544.97942731278,109189.88
AR,2009.0,sale,224,107299.72111607144,107418.76999999999
AR,2010.0,sale,228,104780.8223245614,104401.0
AR,2011.0,sale,228,102957.02210526315,101686.015
AR,2012.0,sale,223,104787.50147982062,108230.35
AR,2013.0,sale,237,104580.11890295359,108423.06
AR,2014.0,sale,240,104436.16029166666,108524.195
AR,2015.0,sale,240,106906.35866666667,111690.935
AR,2016.0,sale,240,112032.607875,118339.785
AR,2017.0,sale,240,115461.59283333333,121429.61
AR,2018.0,sale,240,119539.153625,125138.53
AR,2019.0,sale,240,123870.17341666667,130785.805
AR,2020.0,sale,240,132023.41691666667,137047.19
AR,2021.0,sale,240,147980.607875,151511.04499999998
AR,2022.0,sale,240,162537.55370833335,164729.245
AR,2023.0,sale,240,165513.11758333334,170495.605
AR,2024.0,sale,240,169898.96529166665,176892.39500000002
AR,2025.0,sale,160,170918.910375,176432.97999999998
AZ,2000.0,sale,96,111606.15958333333,102273.66500000001
AZ,2001.0,sale,96,118047.59239583333,107969.905
AZ,2002.0,sale,105,124433.11628571429,115015.49
AZ,2003.0,sale,108,132597.3175925926,122566.045
AZ,2004.0,sale,105,147426.32895238095,136390.2
AZ,2005.0,sale,107,184454.18056074766,176774.64
AZ,2006.0,sale,108,227067.1700925926,217405.505
AZ,2007.0,sale,108,231977.055,227068.91499999998
AZ,2008.0,sale,119,207549.18697478992,201935.89
AZ,2009.0,sale,120,176982.863,175478.81
AZ,2010.0,sale,120,159852.8075,158541.62
AZ,2011.0,sale,120,143384.01325,140383.035
AZ,2012.0,sale,120,146058.00925,144778.56
AZ,2013.0,sale,120,158550.22325,157890.47999999998
AZ,2014.0,sale,120,169633.64108333332,160682.135
AZ,2015.0,sale,120,178843.34866666666,171509.2
AZ,2016.0,sale,120,188137.94666666666,180891.185
AZ,2017.0,sale,120,198559.64958333335,192366.72
AZ,2018.0,sale,120,211283.63308333332,206227.87
AZ,2019.0,sale,120,227574.18858333334,224568.25
AZ,2020.0,sale,120,248406.11733333333,240757.775
AZ,2021.0,sale,120,301750.6269166667,290766.54000000004
AZ,2022.0,sale,120,356291.73675,352065.57999999996
AZ,2023.0,sale,120,353511.7681666667,347207.48
AZ,2024.0,sale,120,364566.7985,351839.45999999996
AZ,2025.0,sale,80,365869.777875,348539.21499999997
CA,2000.0,sale,240,217280.71925,220270.72499999998
CA,2001.0,sale,312,230817.89955128205,216222.7
CA,2002.0,sale,312,256298.78096153846,245441.215
CA,2003.0,sale,336,285183.4360714286,271242.315
CA,2004.0,sale,347,331422.26982708933,311022.44
CA,2005.0,sale,348,405086.91146551725,385393.115
CA,2006.0,sale,348,447026.74416666664,429189.03
CA,2007.0,sale,383,405537.9869712794,391254.1
CA,2008.0,sale,384,337765.9911979167,300741.515
CA,2009.0,sale,384,275250.280390625,227550.055
CA,2010.0,sale,384,267520.908359375,215468.79499999998
CA,2011.0,sale,384,250347.43119791668,198563.14
CA,2012.0,sale,395,242592.65243037973,189534.06
CA,2013.0,sale,396,279641.3886616162,222192.57
CA,2014.0,sale,396,318254.0061616162,271934.635
CA,2015.0,sale,396,345216.4784343434,292447.555
CA,2016.0,sale,407,370611.37474201474,308723.77
CA,2017.0,sale,408,397290.02085784316,336104.13
CA,2018.0,sale,408,432112.6050735294,368302.28500000003
CA,2019.0,sale,408,445342.9928921569,382900.745
CA,2020.0,sale,408,464665.3050245098,401540.355
CA,2021.0,sale,408,536340.3900245097,456075.35
CA,2022.0,sale,407,600975.021990172,505032.99
CA,2023.0,sale,408,589673.126740196,501804.355
CA,2024.0,sale,408,610523.4986764706,491699.04000000004
CA,2025.0,sale,272,611250.8819852942,481126.405
CO,2000.0,sale,156,179056.62051282052,176256.59
CO,2001.0,sale,156,194646.68692307692,193061.91499999998
CO,2002.0,sale,156,204268.53185897437,207671.46000000002
CO,2003.0,sale,164,213891.41762195123,214760.16
CO,2004.0,sale,168,222912.27976190476,230910.465
CO,2005.0,sale,162,236611.79469135802,248820.875
CO,2006.0,sale,165,254588.6084242424,229674.02
CO,2007.0,sale,168,270176.6120238095,251507.275
CO,2008.0,sale,165,270780.2969090909,242234.16
CO,2009.0,sale,180,269845.061,237804.735
CO,2010.0,sale,180,262591.47805555555,234700.685
CO,2011.0,sale,180,250086.066,223836.975
CO,2012.0,sale,192,245170.38067708333,216807.35499999998
CO,2013.0,sale,192,260402.83265625,231383.085
CO,2014.0,sale,192,276644.0047916667,253098.72999999998
CO,2015.0,sale,192,298659.5847395833,283625.31000000006
CO,2016.0,sale,203,316814.9414285714,296613.79
CO,2017.0,sale,204,341530.4561764706,326667.18000000005
CO,2018.0,sale,204,366263.81612745096,355642.08499999996
CO,2019.0,sale,204,387259.54014705884,373850.69
CO,2020.0,sale,204,409667.07843137253,390657.095
CO,2021.0,sale,204,486181.44539215683,446894.065
CO,2022.0,sale,204,577278.1431372549,516743.69
CO,2023.0,sale,204,579046.469754902,502790.025
CO,2024.0,sale,204,597631.2321078432,504359.08
CO,2025.0,sale,136,602741.5711764706,504984.62
CT,2000.0,sale,60,178055.07766666668,155466.72
CT,2001.0,sale,60,194303.56866666666,167907.4
CT,2002.0,sale,60,215020.075,185900.94
CT,2003.0,sale,60,242178.94483333334,208418.89500000002
CT,2004.0,sale,60,271391.603,235257.865
CT,2005.0,sale,60,305289.18666666665,264583.69
CT,2006.0,sale,60,327154.57,288034.545
CT,2007.0,sale,60,324300.24583333335,287690.1
CT,2008.0,sale,60,308234.72366666666,270466.4
CT,2009.0,sale,60,284876.94433333335,253220.66999999998
CT,2010.0,sale,60,271956.05416666664,239422.265
CT,2011.0,sale,60,258340.335,229180.485
CT,2012.0,sale,60,246344.471,214462.57
CT,2013.0,sale,60,247981.386,214749.15
CT,2014.0,sale,60,253295.48516666668,218245.39
CT,2015.0,sale,60,255035.3735,219246.27500000002
CT,2016.0,sale,60,258129.86766666666,222220.90999999997
CT,2017.0,sale,60,264295.6516666667,228296.35499999998
CT,2018.0,sale,60,269735.17916666664,235846.515
CT,2019.0,sale,60,271886.216,237254.205
CT,2020.0,sale,60,283390.28733333334,247749.08500000002
CT,2021.0,sale,60,328786.1876666667,290371.36
CT,2022.0,sale,60,366089.27016666665,324279.6
CT,2023.0,sale,60,391988.7276666667,349207.78500000003
CT,2024.0,sale,60,428536.02283333335,380855.525
CT,2025.0,sale,40,443618.696,397259.705
DE,2000.0,sale,12,138597.08583333335,138116.975
DE,2001.0,sale,12,154677.12166666667,154924.04499999998
DE,2002.0,sale,12,174238.6775,174189.61
DE,2003.0,sale,12,201728.115,201317.15000000002
DE,2004.0,sale,12,235256.76166666666,234283.7
DE,2005.0,sale,12,277292.7866666667,276495.68
DE,2006.0,sale,12,314130.68833333335,316586.425
DE,2007.0,sale,12,311846.12666666665,313262.41000000003
DE,2008.0,sale,12,290945.33166666667,291609.98
DE,2009.0,sale,18,243859.41833333333,260049.45500000002
DE,2010.0,sale,24,221522.01166666666,218850.995
DE,2011.0,sale,24,207303.61833333335,206219.31
DE,2012.0,sale,24,200923.98125,200957.44
DE,2013.0,sale,24,205865.04208333333,206224.64
DE,2014.0,sale,24,214085.07333333333,213344.64
DE,2015.0,sale,24,222099.10625,222793.61
DE,2016.0,sale,24,228556.64333333334,229916.675
DE,2017.0,sale,24,235625.26833333334,233664.02000000002
DE,2018.0,sale,24,243259.2325,242781.745
DE,2019.0,sale,24,253911.95833333334,253484.965
DE,2020.0,sale,24,269009.12833333336,272074.55
DE,2021.0,sale,24,315062.61333333334,306487.515
DE,2022.0,sale,24,359767.92791666667,353777.31999999995
DE,2023.0,sale,24,374229.22458333336,375463.91000000003
DE,2024.0,sale,24,386869.44083333336,388999.81
DE,2025.0,sale,16,392173.260625,391870.385
FL,2000.0,sale,300,107653.4572,108912.66
FL,2001.0,sale,300,115271.02453333333,114437.60500000001
FL,2002.0,sale,300,124787.93746666667,123823.51000000001
FL,2003.0,sale,297,137492.1724915825,137493.17
FL,2004.0,sale,335,150072.48185074626,152913.24
FL,2005.0,sale,335,184972.4341791045,183910.58
FL,2006.0,sale,336,222654.25044642857,213453.985
FL,2007.0,sale,336,215357.69360119046,213509.85499999998
FL,2008.0,sale,336,183021.06666666668,181363.045
FL,2009.0,sale,336,152251.73952380952,148726.3
FL,2010.0,sale,336,139449.28794642858,134836.275
FL,2011.0,sale,336,128132.17142857143,121516.35
FL,2012.0,sale,336,125601.15410714285,119649.715
FL,2013.0,sale,336,135514.68199404763,134552.36
FL,2014.0,sale,336,148253.31529761906,147588.91499999998
FL,2015.0,sale,336,160218.7392261905,157159.36
FL,2016.0,sale,347,184920.9425648415,175119.13
FL,2017.0,sale,348,198935.76362068966,190777.1
FL,2018.0,sale,348,213256.57209770114,207440.285
FL,2019.0,sale,348,224547.58468390803,218638.425
FL,2020.0,sale,348,239045.03359195404,232116.215
FL,2021.0,sale,345,280759.6367536232,264877.13
FL,2022.0,sale,348,352573.0165804598,337737.365
FL,2023.0,sale,348,365875.3093390805,357558.29000000004
FL,2024.0,sale,348,370289.6376149425,352310.31
FL,2025.0,sale,232,359493.8255172414,337370.04500000004
GA,2000.0,sale,395,96829.38450632911,90755.28
GA,2001.0,sale,396,102791.55833333333,96649.38500000001
GA,2002.0,sale,395,106870.35091139241,99911.85
GA,2003.0,sale,395,110502.95643037975,102908.31
GA,2004.0,sale,381,115907.14524934383,107374.55
GA,2005.0,sale,377,119111.88599469497,109933.75
GA,2006.0,sale,392,125210.75767857143,115130.6
GA,2007.0,sale,396,131008.14285353535,119249.41
GA,2008.0,sale,401,129808.13538653367,119193.83
GA,2009.0,sale,442,122337.32264705883,114821.45999999999
GA,2010.0,sale,444,114388.13894144144,107075.06
GA,2011.0,sale,444,106511.79157657658,101140.54500000001
GA,2012.0,sale,444,104237.7445045045,99757.715
GA,2013.0,sale,444,108207.1863963964,103698.155
GA,2014.0,sale,444,112971.24047297298,108478.63500000001
GA,2015.0,sale,444,116608.13637387387,112446.0
GA,2016.0,sale,444,121144.66878378378,116984.43
GA,2017.0,sale,444,124606.26292792792,118118.005
GA,2018.0,sale,444,133413.98675675676,124858.83
GA,2019.0,sale,444,142890.8754954955,134386.135
GA,2020.0,sale,444,153663.8552027027,145389.875
GA,2021.0,sale,444,178421.44788288287,167538.51
GA,2022.0,sale,444,208973.1306981982,193546.97
GA,2023.0,sale,444,218590.4194144144,202202.99
GA,2024.0,sale,444,230346.1730855856,210673.97
GA,2025.0,sale,296,232372.18327702704,213983.13
HI,2000.0,sale,36,195344.06722222222,197094.14
HI,2001.0,sale,36,211977.27138888888,222145.4
HI,2002.0,sale,36,231573.39027777777,245134.42
HI,2003.0,sale,36,264471.2791666667,275671.66500000004
HI,2004.0,sale,36,325897.82416666666,328700.225
HI,2005.0,sale,36,415457.76694444445,413478.66000000003
HI,2006.0,sale,36,489057.0047222222,505350.79000000004
HI,2007.0,sale,36,501501.14,519714.63
HI,2008.0,sale,36,485521.5513888889,499177.88
HI,2009.0,sale,36,442223.3072222222,446647.58999999997
HI,2010.0,sale,36,427500.0027777778,434966.66500000004
HI,2011.0,sale,36,423333.0358333333,421475.29
HI,2012.0,sale,36,421985.6819444444,411970.99
HI,2013.0,sale,36,458511.5025,462732.0
HI,2014.0,sale,36,505806.32916666666,508356.565
HI,2015.0,sale,46,494260.7047826087,536181.38
HI,2016.0,sale,48,514372.14145833335,564061.25
HI,2017.0,sale,48,541350.9320833334,589342.755
HI,2018.0,sale,48,569239.2385416667,626798.29
