,predicted_mean
2020-07-01,236570.35231254902
2020-08-01,236950.73069417276
2020-09-01,237305.81428932704
2020-10-01,237637.28517631456
2020-11-01,237946.71357689318
2020-12-01,238235.56529462562
2021-01-01,238505.20865858626
2021-02-01,238756.9210053183
2021-03-01,238991.89472974712
2021-04-01,239211.24293371395
2021-05-01,239416.0046988876
2021-06-01,239607.15000903283
2021-07-01,239785.58434495257
2021-08-01,239952.15297387118
2021-09-01,240107.64495357798
2021-10-01,240252.79687029906
2021-11-01,240388.29632800442
2021-12-01,240514.78520567957
2022-01-01,240632.86269799183
2022-02-01,240743.0881537553
2022-03-01,240845.98372564066
2022-04-01,240942.0368436821
2022-05-01,241031.70252429816
2022-06-01,241115.4055257653
